cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire,web_label,statut_autorisation,commentaire
FOSETYL,1816,FOSETYL,Fosetyl,15845-66-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fosetyl,Autorisé,
FLUAZB,1825,FLUAZIFOP BUTYL,Fluazifop butyl,69806-50-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fluazifop butyl,,
ISPV,1829,ISOFENVOS,Isofenvos,25311-71-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Isofenvos,,
ADETD,1830,ATRAZINE DÉSÉTHYL DÉISOPROPYL,Atrazine déséthyl déisopropyl,3397-62-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,,Atrazine déséthyl déisopropyl,Interdit,
SHYD,1831,SIMAZINE HYDROXY,Simazine hydroxy,2599-11-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,2,µg/L,Vmax établie par l'Anses en 2013,,,,Simazine hydroxy,,
A2H,1832,ATRAZINE-2-HYDROXY,Atrazine-2-hydroxy,2163-68-0,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,120,µg/L,Vmax établie par l'Anses en 2016,,,,Atrazine-2-hydroxy,Interdit,
HXPEE,1833,HALOXYFOP ÉTHOXYÉTHYL,Haloxyfop éthoxyéthyl,87237-48-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Haloxyfop éthoxyéthyl,,
LFLAM,1840,FLAMPROP-ISOPROPYL,Flamprop-isopropyl,52756-22-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de valeur sanitaire en 2019,,,,Flamprop-isopropyl,,
FENFU,1843,FENFURAN,Fenfuran,24691-80-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenfuran,,
OCHA,1848,OXYCHLORDANE,Oxychlordane,27304-13-8,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Oxychlordane,,
OXYM,1850,OXAMYL,Oxamyl,23135-22-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Oxamyl,,
BROMADI,1859,BROMADIOLONE,Bromadiolone,28772-56-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bromadiolone,,
BMUCON,1860,BROMUCONAZOLE,Bromuconazole,116255-48-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2008,,,,Bromuconazole,,
BUPIRI,1861,BUPIRIMATE,Bupirimate,41483-43-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bupirimate,,
BUPROFZ,1862,BUPROFÉZINE,Buprofézine,69327-76-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Buprofézine,,
CADUSAF,1863,CADUSAFOS,Cadusafos,95465-99-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cadusafos,,
CARBOSU,1864,CARBOSULFAN,Carbosulfan,55285-14-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Carbosulfan,,
CHINOME,1865,CHINOMÉTHIONATE,Chinométhionate,02/01/2439,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chinométhionate,,
KEPONE,1866,CHLORDÉCONE,Chlordécone,143-50-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.3,µg/L,Vmax établie par l'Anses en 2025,,,,Chlordécone,Interdit,
DCPA,1867,CHLORTHAL,Chlorthal,2136-79-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorthal,,
CLOFEN,1868,CLOFENTÉZINE,Clofentézine,74115-24-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Clofentézine,,
DMTT,1869,DAZOMET,Dazomet,533-74-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dazomet,,
DIMEFUR,1870,DIMÉFURON,Diméfuron,34205-21-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,210,µg/L,Vmax établie par l'Anses en 2017,,,,Diméfuron,Interdit,
DINICO,1871,DINICONAZOLE,Diniconazole,83657-24-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diniconazole,,
EPN,1873,EPN,EPN,2104-64-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,EPN,,
ETHIOPH,1874,ETHIOPHENCARBE,Ethiophencarbe,29973-13-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Ethiophencarbe,,
HXFLUMU,1875,HEXAFLUMURON,Hexaflumuron,86479-06-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Hexaflumuron,,
HTZ,1876,HEXYTHIAZOX,Hexythiazox,78587-05-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Hexythiazox,,
IMIDA,1877,IMIDACLOPRIDE,Imidaclopride,138261-41-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,180,µg/L,Vmax établie par l'Anses en 2008,,,,Imidaclopride,Interdit,
MEPRONI,1878,MÉPRONIL,Mépronil,55814-41-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Mépronil,,
METCONA,1879,METCONAZOL,Metconazol,125116-23-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Metconazol,,
AZODRIN,1880,MONOCROTOPHOS,Monocrotophos,6923-22-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Monocrotophos,,
MYCLOSS,1881,MYCLOBUTANIL,Myclobutanil,88671-89-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Myclobutanil,,
NICOSUL,1882,NICOSULFURON,Nicosulfuron,111991-09-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,2700,µg/L,Vmax établie par l'Anses en 2026,,,,Nicosulfuron,,
NUARIMO,1883,NUARIMOL,Nuarimol,63284-71-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Nuarimol,,
PENCYCU,1887,PENCYCURON,Pencycuron,66063-05-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,444,µg/L,Vmax établie par l'Anses en 2020,,,,Pencycuron,,
PROFENO,1889,PROFÉNOFOS,Profénofos,41198-08-07,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Profénofos,,
PYRIDAB,1890,PYRIDABÈNE,Pyridabène,96489-71-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyridabène,,
EKALUX,1891,QUINALPHOS,Quinalphos,13593-03-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Quinalphos,,
RSFU,1892,RIMSULFURON,Rimsulfuron,122931-48-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Rimsulfuron,,
SIDURON,1893,SIDURON,Siduron,1982-49-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Siduron,,
TEDP,1894,SULFOTEPP,Sulfotepp,3689-24-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Sulfotepp,,
TBZDE,1895,TÉBUFÉNOZIDE,Tébufénozide,112410-23-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tébufénozide,,
TBPYR,1896,TÉBUFENPYRAD,Tébufenpyrad,119168-77-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tébufenpyrad,,
TFBZURO,1897,TEFLUBENZURON,Teflubenzuron,83121-18-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Teflubenzuron,,
ABATE,1898,TÉMÉPHOS,Téméphos,3383-96-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Téméphos,,
TTDIFON,1900,TETRADIFON,Tetradifon,116-29-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tetradifon,,
TRZAMAT,1901,TRIAZAMATE,Triazamate,112143-82-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triazamate,,
TRFLUM,1902,TRIFLUMURON,Triflumuron,64628-44-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triflumuron,,
ACETOCH,1903,ACÉTOCHLORE,Acétochlore,34256-82-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,10,µg/L,Vmax établie par l'Anses en 2016,,,,Acétochlore,,
DCBUT,1904,DICLOBUTRAZOL,Diclobutrazol,75736-33-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diclobutrazol,,
DIFENOC,1905,DIFÉNOCONAZOLE,Difénoconazole,119446-68-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Difénoconazole,,
FENBUCO,1906,FENBUCONAZOLE,Fenbuconazole,114369-43-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenbuconazole,,
AMPA,1907,AMPA,AMPA,1066-51-9,pesticide,metabolite,non_pertinent,,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,0.9,µg/L,,µg/L,Pas de restriction de consommation pour les métabolites non pertinents. ,,,,AMPA,Autorisé,
FURALAX,1908,FURALAXYL,Furalaxyl,57646-30-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Furalaxyl,,
HALOXYR,1909,HALOXYFOP-MÉTHYL (R),Haloxyfop-méthyl (R),72619-32-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Haloxyfop-méthyl (R),,
HEPTENO,1910,HEPTÉNOPHOS,Hepténophos,23560-59-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Hepténophos,,
IMATMET,1911,IMAZAMÉTHABENZ-MÉTHYL,Imazaméthabenz-méthyl,81405-85-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Imazaméthabenz-méthyl,,
METOSUL,1912,MÉTOSULAM,Métosulam,139528-85-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Métosulam,,
THISUME,1913,THIFENSULFURON MÉTHYL,Thifensulfuron méthyl,79277-27-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,22,µg/L,Vmax établie par l'Anses en 2020,,,,Thifensulfuron méthyl,,
TRIASUL,1914,TRIASULFURON,Triasulfuron,82097-50-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triasulfuron,,
SEBUT,1923,SÉBUTHYLAZINE,Sébuthylazine,7286-69-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Sébuthylazine,,
DCPMU,1929,"1-(3,4-DICHLOROPHÉNYL)-3-MÉTHYLURÉE","1-(3,4-dichlorophényl)-3-méthylurée",3567-62-2,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"1-(3,4-dichlorophényl)-3-méthylurée",,
DCPU,1930,"1-(3,4-DICHLOROPHÉNYL)-URÉE","1-(3,4-dichlorophényl)-urée",2327-02-08,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"1-(3,4-dichlorophényl)-urée",,
4ISPRO,1932,4-ISOPROPYLANILINE,4-Isopropylaniline,99-88-7,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,4-Isopropylaniline,,
CYBUT,1935,CYBUTRYNE,Cybutryne,28159-98-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cybutryne,,
